customer_message,suggested_intent,similarity,true_intent
I want to return my order but no one has came to pickup my order,return_issue,0.8296537399291992,return_issue
I have still not received my courier!,return_issue,0.7813175320625305,delivery_issue
facing issue with an order return.. Pls help! Ur cust care rep is nt helpful either. Not expected this frm u guys,return_issue,0.711774468421936,return_issue
"I HV ordred a prodct, waitin fo return pickup sinc last 9-10 dez & not refunding coz de r unable to pickup on the scheduled time.",return_issue,0.71082603931427,return_issue
do ur courier partner had not been contacted me or nor try to deliver it me. Tracking id 69987177035,return_issue,0.6811171770095825,delivery_issue
ORDER # 405-2461791-7785107 ORDER # 404-5845458-6107505 The return is still not placed and pending from last 15 days.,return_issue,0.6783027648925781,return_issue
I had filed return on 6th but yet no one had came to pickup. I had complained three times to ur customer service but now they blocked my no.,return_issue,0.6727558374404907,return_issue
"For the Order#171-5545073-8545123 , i have asked for the Return but your agent is not reached yet",return_issue,0.6616843938827515,return_issue
0128722014 0128720804 These are my complaint numbers when the heck my problem will be resolved. Y it is taking too long. It has been more than 10 days since I made the first complaint.,return_issue,0.3234293460845947,general_unclear
I've contacted you 32 times already ! Just refund me my money and give me the Hard copies of the content wiped out.,return_issue,0.39683055877685547,refund_issue
Item is eligible for return but customer care is not ready for pickup.,return_issue,0.614905595779419,return_issue
tried to add towels to my wedding registry + accidentally ordered them. now being charged a fee to return. can you help?,return_issue,0.4760550260543823,return_issue
This situation is Shared Previously also and by your side not taking any action. Just making fools by saying sorry only....,return_issue,0.28980502486228943,general_unclear
"Eh. I suppose I should. I was kind of waiting to see how it all worked out, for the sake of the humor. :)",return_issue,0.17640940845012665,general_unclear
"I could just go to Tesco and buy it right now and send you yours back and get a refund. I pay for day of release, not afternoon",return_issue,0.49284398555755615,return_issue
"Seriously, HOW CAN I GET MY EMAIL ADDRESS REMOVED FROM AN AMAZON ACCOUNT THAT IS BUYING LOADS OF STUFF, POSSIBLY FRAUDULENTLY?",security_fraud,0.8198270797729492,security_fraud
"someone has stolen my Amazon account, and changed the email address. How do I recover it?",security_fraud,0.7361552715301514,security_fraud
I am receiving the same mails... Amazon is not at all cooperating..,security_fraud,0.6935189962387085,general_unclear
is this email legit?,security_fraud,0.6913416385650635,security_fraud
here attaching the inbox page of registered email id. plz assist in a proper wat rather than harassing #AmazonIndia,security_fraud,0.6876641511917114,general_unclear
"Pretending to be amazon. Sending me an invoice for my prime subscription (I don't have prime, have checked my account, definitely don't!)",security_fraud,0.6781498789787292,security_fraud
Following from last 3 days.. whether amazon doing any fraud as doing such things,security_fraud,0.6758021712303162,security_fraud
I can provide you with my Amazon account email id. Would that help? It's been a couple of days that I replied to 's email,security_fraud,0.6660009622573853,general_unclear
"Not yet, thought it was a no-reply email. Would do that",security_fraud,0.45399031043052673,general_unclear
"She's forwarded me the email, if I follow the order number link it seems to take me to the genuine to log in.",security_fraud,0.6041178107261658,security_fraud
existe algum e-mail onde eu consiga abrir um chamado?,security_fraud,0.2534700632095337,general_amazon_query
"And they call themselves to be the best customer oriented. All their cust service agents do, copy and paste the emails. Frustrated",security_fraud,0.4393289387226105,general_unclear
I m filling a fraudulent case agnst u all #Amazon fr cheating by sending me cofirmtn of my packg being delivrd wer as i havnt recevd it,security_fraud,0.6262534856796265,delivery_misdelivery
"I have already shared the email, what should I write in reply to this. The email said to call and on call i ask to mail.....",security_fraud,0.3790038824081421,general_unclear
"on arrival sms, delaying order by giving fake excuses, rude courier boys & this all is happening when order is from Amazon assured (2/3)",security_fraud,0.618625283241272,delivery_issue
Payment has failed once & in the last two attempts has failed me. What can I do now?,payment_billing,0.8476173877716064,payment_billing
I have spent an hour on hold with amazon this morning just so someone can look at why I have been charged for something I shouldn't. Great 👍,payment_billing,0.7493642568588257,payment_billing
please explain why you charge for amazon prime yet don't follow through on your promises of speedy deliveries,payment_billing,0.7151489853858948,prime
"Unable to make any kind of purchase, constant failure while checking out, unable to complete the payment process, tried connecting via phone, email, chat but no response is there any way I can get some assistance? this is crying shame",payment_billing,0.7061339616775513,payment_billing
i think amazon have just took a random £1 off me? I have no idea why,payment_billing,0.7034532427787781,payment_billing
Yes the charge is on my bank account,payment_billing,0.6917666792869568,payment_billing
